,BTC/USDT,ETH/USDT,DOGE/USDT,BNB/USDT,ADA/USDT,SOL/USDT
HOURLY,0.0056589707956632975,0.009487005294818595,0.012755847444931908,0.007621591752629834,0.013916385235150926,0.013121163766428105
DAILY,0.02772318183737361,0.04647664431877569,0.062490634953735434,0.037338021643495284,0.06817608578024291,0.06428031211848786
WEEKLY,0.0733486446931133,0.12296564264028345,0.16533467935810428,0.09878711971583572,0.1803769683363297,0.17006972006313037
MONTHLY,0.15184612058147048,0.2545630649053777,0.34227530396981704,0.20450876706758486,0.37341580064246244,0.352077769507685
