,symbol,total_returns,percentage_result,num_trades,win_rate,avg_return,sharpe_ratio,max_drawdown,initial_capital,final_capital
0,BTC/USDT,-0.14876437253318528,-14.876437253318528,9,0.0,-0.017705091029752894,-2.1080684108499974,-0.128281803550273,10000,8512.356274668147
1,ETH/USDT,-0.1278222472455738,-12.78222472455738,10,0.2,-0.013102655880194334,-0.39915041329284506,-0.10732354677027667,10000,8721.777527544262
2,DOGE/USDT,-0.045186106552204,-4.5186106552204,7,0.42857142857142855,-0.005821291699244509,-0.13837466395303719,-0.07484914895399931,10000,9548.13893447796
3,BNB/USDT,-0.16143569385624743,-16.143569385624744,9,0.0,-0.019346626062868577,-2.5598945594396745,-0.14165188701953813,10000,8385.643061437526
4,ADA/USDT,-0.1135381591349893,-11.353815913498929,7,0.14285714285714285,-0.016556436744644337,-0.4737140369330676,-0.08737546024903833,10000,8864.618408650107
5,SOL/USDT,-0.17040116364834484,-17.040116364834486,9,0.1111111111111111,-0.020221522647757506,-0.7470632859680121,-0.2099324808410815,10000,8295.988363516552
